batter,balls,strikes,outs_when_up,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_class,home,half_inning,year,month,day,base_runner_class,if_alignment_class,of_alignment_class
543068,1,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,48,4,3,2,3,2,1,0,12,2021,4,17,1,3,1
543068,0,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,48,3,3,2,3,2,1,0,12,2021,4,17,1,3,1
543068,0,1,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,48,2,3,2,3,2,1,0,12,2021,4,17,1,3,1
543068,0,0,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,48,1,3,2,3,2,1,0,12,2021,4,17,1,3,1
453568,1,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,47,4,3,2,3,2,2,0,12,2021,4,17,1,3,1
453568,1,1,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,47,3,3,2,3,2,2,0,12,2021,4,17,1,3,2
453568,0,1,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,47,2,3,2,3,2,2,0,12,2021,4,17,1,3,2
453568,0,0,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,47,1,3,2,3,2,2,0,12,2021,4,17,1,3,2
596115,3,2,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,46,6,3,2,3,2,1,0,12,2021,4,17,1,3,1
596115,3,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,46,5,3,2,3,2,1,0,12,2021,4,17,1,3,1
596115,3,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,46,4,3,2,3,2,1,0,12,2021,4,17,1,3,1
